text,intent
Can I get a 3 BHK Apartment on an installment plan in Emaar?,faq
Is there an availabl 10 Marla Phase in DHA for immediate sale?,lead_capture
I want to cancel my booking for 5 Marla Apartment in Bahria Town because of this bad service!,escalation
What is the possession timeline for 2 Kanal Plot in Johar Town?,faq
Send me the current price list for 2 BHK Phase in Emaar.,lead_capture
Is teh 2 BHK Apartment in Blue Area near any main road?,faq
I want to lodge a formal complaint against the agent for Clifton Sector!,escalation
"this bot is useless, connect me to the manager of clifton society!",escalation
Is the 10 Marla Plot in Gulberg near any main road,faq
I am looking for a 3 BHK Commercial Shop in DHA. Please contact me at investor.pk@gmail.com.,lead_capture
Please WhatsApp me the details of 2 BHK Apartment in Giga Mall at +92 300 1234567.,lead_capture
CAN YOU SHARE THE BROKER NUMBER FOR GIGA MALL PLOT FILE?,lead_capture
I want to know about the payment plan for Studio House in Clifton.,faq
what is the security situation in blue area phase?,faq
"my payment of lakhs lakhs for registry is stuck, fix it now!",escalation
Can you share the broker number for Johar Town Commercial Shop,lead_capture
Does the Studio Apartment in Emaar have security?,faq
Get a human online right now token payment stuck for DHA Commercial Shop!,escalation
Is teh Johar Town Commercial Shop society approved by LDA or DHA?,faq
what is the possession timeline for studio apartment in clifton?,faq
urgent: my token money failed but money was deducted for clifton plot file!,escalation
Can you share the broker number for Emaar Commercial Shop?,lead_capture
Interested in 2 BHK Apartment in Giga Mall. Please call back on 0312 7654321.,lead_capture
I'm ready to pay teh Possession charges for a 5 Marla Commercial Shop in Emaar.,lead_capture
I HAVE A BUDGET OF CRORES CRORES FOR A 2 KANAL HOUSE IN CLIFTON.,lead_capture
I paid the Down Paymnt for Clifton Plot and it's still not updated!,escalation
Urgent: my Installment Plan failed but money was deducted for DHA Plot File!,escalation
Are there any 4 BHK penthouse Apartment available in Bahria Town?,faq
I'm ready to pay the Down Paymnt for a 2 Kanal Commercial Shop in Gulberg.,lead_capture
I am interested in buying a 2 Kanal Commercial Shop in Clifton.,lead_capture
i want to invest in emaar house. do you have any 4 bhk penthouse options?,lead_capture
What is the total price of a 2 BHK Plot File in Gulberg?,faq
Why is the Installment Plan not reflecting in my portal for Bahria Town Phase,escalation
What is teh total price of a 2 BHK Luxury Villa in Blue Area?,faq
WHY IS TEH REGISTRY NOT REFLECTING IN MY PORTAL FOR EMAAR HOUSE?,escalation
I want a call back regarding Studio Commercial Shop in Blue Area.,lead_capture
Can you give me the dimensions of a 4 BHK penthouse Apartment in DHA?,faq
"my payment of lakhs lakhs for token money is stuck, fix it now!",escalation
tell me the difference between 4 bhk penthouse and 4 bhk penthouse in emaar.,faq
Please send me your WhatsApp number for Phase in Johar Town.,lead_capture
What are the amenities provided in Clifton Apartment?,faq
i paid the possession charges for johar town sector and it's still not updated!,escalation
Please send me the full brochure and paymnt plan for Emaar Luxury Villa on my email investor.pk@gmail.com.,lead_capture
Can I book a physical site-tour for Clifton Plot File?,lead_capture
"i am looking for a luxury luxury villa in giga mall, can you help?",lead_capture
I want a call back regarding 1 Kanal Plot in Bahria Town.,lead_capture
How much is the Installment Plan for Blue Area Luxury Villa?,faq
i want to cancel my booking for 5 marla sector in blue area because of this bad service!,escalation
What is the possession timeline for 4 BHK penthouse Plot File in Giga Mall?,faq
i want to visit bahria town this weekend to see 5 marla apartments.,lead_capture
Urgent: my Possession charges failed but money was deducted for Blue Area Plot!,escalation
Can I get a 2 BHK Commercial Shop on an installment plan in Blue Area,faq
Is Gulberg House currently in possession?,faq
I want a call back regarding 4 BHK penthouse Luxury Villa in Bahria Town.,lead_capture
Can you share the broker number for Emaar Sector?,lead_capture
What are the amenities provided in Clifton Commercial Shop,faq
I want to invest in Emaar Luxury Villa. Do you have any 1 Kanal options?,lead_capture
Urgent complaint regarding the transfer fee for Clifton Commercial Shop!,escalation
I am looking for a Studio Phase in Emaar. Please contact me at realestate.buyer@outlook.com.,lead_capture
Interested in 2 BHK Commercial Shop in Gulberg. Please call back on +92 300 1234567.,lead_capture
"My payment of Lakhs Lakhs for Registry is stuck, fix it now!",escalation
urgent complaint regarding the transfer fee for giga mall apartment!,escalation
What is the current market rate for 3 BHK Plot in Johar Town?,faq
Why is my Down Payment delayed for Johar Town Phase?,escalation
i am interested in buying a 3 bhk apartment in blue area.,lead_capture
My Token Money for Blue Area Sector was deducted but no confirmation received.,escalation
I paid the Transfer fee for Bahria Town Commercial Shop and it's still not updated!,escalation
Are there any 10 Marla Apartment availabl in Bahria Town?,faq
Interested in 5 Marla Sector in DHA. Please call back on +92 300 1234567.,lead_capture
I want a call back regarding 1 Kanal Luxury Villa in Blue Area.,lead_capture
i want to lodge a formal complaint against the agent for dha plot!,escalation
I want a call back regarding 3 BHK Luxury Villa in Johar Town.,lead_capture
Please send me your WhatsApp number for Plot in Blue Area.,lead_capture
Tell me about the Installment Plan for Johar Town Luxury Villa.,faq
Your agent promised me Down Paymnt by today but nothing happened!,escalation
I am interested in buying a 2 BHK Apartment in Emaar.,lead_capture
I want to know about the payment plan for Studio Luxury Villa in Bahria Town.,faq
i want to lodge a formal complaint against the agent for emaar phase!,escalation
What is the security situation in DHA Apartment?,faq
Does the Studio Sector in DHA have security?,faq
I want to lodge a formal complaint against the agent for Bahria Town Plot!,escalation
Please send me teh full brochure and payment plan for Johar Town Sector on my email realestate.buyer@outlook.com.,lead_capture
Is the Clifton Plot File society approved by LDA or DHA?,faq
Interested in 2 Kanal Apartment in Emaar. Please call back on 0333 1122334.,lead_capture
Please WhatsApp me the details of 3 BHK Commercial Shop in Johar Town at 0312 7654321.,lead_capture
please send me the full brochure and payment plan for emaar house on my email realestate.buyer@outlook.com.,lead_capture
Please WhatsApp me the details of 2 BHK House in DHA at 0333 1122334.,lead_capture
Why is the Installment Plan not reflecting in my portal for Johar Town Commercial Shop?,escalation
Can you arrange a meeting with the agent for Emaar Plot File?,lead_capture
I'm ready to pay the Down Payment for a 4 BHK penthouse Luxury Villa in Bahria Town.,lead_capture
Is there an available 1 Kanal Plot in Clifton for immediate sale?,lead_capture
Can you give me the dimensions of a 5 Marla House in Johar Town?,faq
Tell me about the Transfer fee for Emaar Plot File.,faq
What is teh security situation in Clifton Plot File?,faq
Why is teh Transfer fee not reflecting in my portal for Clifton House?,escalation
I want a call back regarding 5 Marla Phase in Bahria Town.,lead_capture
Are there any hidden Possession charges for DHA Apartment?,faq
Are there any hidden Registry for Blue Area House?,faq
please whatsapp me the details of studio luxury villa in blue area at 0312 7654321.,lead_capture
Tell me about the Registry for Bahria Town Plot File.,faq
URGENT COMPLAINT REGARDING THE TRANSFER FEE FOR BLUE AREA SECTOR!,escalation
please send me the full brochure and payment plan for dha commercial shop on my email user@example.com.,lead_capture
get a human online right now token payment stuck for johar town phase!,escalation
What are the amenities provided in Bahria Town Phase?,faq
my registry for bahria town apartment was deducted but no confirmation received.,escalation
Tell me teh difference between Studio and Studio in Giga Mall.,faq
"I'm very interested in the 3 BHK Plot in Bahria Town, how do I proceed?",lead_capture
My Registry for DHA Phase was deducted but no confirmation received.,escalation
Why is my Transfer fee delayed for Johar Town Plot File?,escalation
What is the possession timeline for Studio Commercial Shop in DHA,faq
Send me the current price list for 2 BHK Apartment in Emaar.,lead_capture
urgent complaint regarding the transfer fee for bahria town plot file!,escalation
tell me about the transfer fee for blue area commercial shop.,faq
Can I get a Studio Plot File on an installment plan in DHA,faq
I want to know about the payment plan for 2 Kanal Luxury Villa in Gulberg.,faq
what is the possession timeline for studio plot file in giga mall?,faq
urgent complaint regarding the transfer fee for clifton phase!,escalation
CAN YOU GIVE ME THE DIMENSIONS OF A STUDIO LUXURY VILLA IN JOHAR TOWN?,faq
i've emailed three times about my 5 marla apartment in emaar and no response!,escalation
Are there any hidden Down Payment for Emaar House?,faq
interested in 2 bhk phase in johar town. please call back on 0345 5566778.,lead_capture
Please send me your WhatsApp number for Phase in Clifton.,lead_capture
How many 2 Kanal Phase are left in Gulberg Phase?,faq
why is my installment plan delayed for clifton phase?,escalation
Why is my Possession charges delayed for DHA Luxury Villa?,escalation
Can you arrange a meeting with the agent for Blue Area Apartment?,lead_capture
Tell me the difference between 2 Kanal and 2 Kanal in Clifton.,faq
I am looking for a 4 BHK penthouse Plot in Blue Area. Please contact me at investor.pk@gmail.com.,lead_capture
I want to invest in Giga Mall Apartment. Do you have any Studio options,lead_capture
I paid the Registry for Clifton Sector and it's still not updated!,escalation
Send me the current prce list for 4 BHK penthouse Apartment in DHA.,lead_capture
Please WhatsApp me the details of Studio Commercial Shop in Clifton at 0333 1122334.,lead_capture
Send me the current price list for 2 Kanal House in Gulberg.,lead_capture
What is the current market rate for Studio House in Emaar,faq
Urgent complaint regarding the transfer fee for Blue Area Plot File!,escalation
Please WhatsApp me the details of 2 Kanal Plot in Emaar at +92 321 9876543.,lead_capture
i will not pay teh down payment until a human explains the delay!,escalation
What is the transfer fee for Clifton Plot?,faq
interested in 5 marla plot file in emaar. please call back on +92 321 9876543.,lead_capture
"I want to book a 3 BHK Plot in Blue Area, call me at 0333 1122334.",lead_capture
What are the Down Payment for a 1 Kanal Plot in Gulberg?,faq
Please WhatsApp me the details of 5 Marla Phase in Giga Mall at 0312 7654321.,lead_capture
Please send me the full brochure and payment plan for Giga Mall Plot on my email realestate.buyer@outlook.com.,lead_capture
Is the Giga Mall Luxury Villa society approved by LDA or DHA,faq
Please send me the full brochure and payment plan for Blue Area Luxury Villa on my email client123@yahoo.com.,lead_capture
Your agent promised me Registry by today but nothing happened!,escalation
I want to know about the payment plan for 2 Kanal Plot File in Blue Area.,faq
what is the transfer fee for gulberg phase?,faq
Urgent complaint regarding the transfer fee for Bahria Town Commercial Shop!,escalation
Are there any 2 BHK Luxury Villa available in Emaar?,faq
Can you share teh broker number for Bahria Town House?,lead_capture
What is the current market rate for Studio Apartment in Blue Area?,faq
Please send me the full brochure and payment plan for Emaar Plot File on my email client123@yahoo.com.,lead_capture
I am looking for a 2 Kanal Commercial Shop in Johar Town. Please contact me at realestate.buyer@outlook.com.,lead_capture
Urgent complaint regarding the transfer fee for Bahria Town Apartment!,escalation
Is the 4 BHK penthouse Plot File in Johar Town near any main road?,faq
"i am reporting this to the society head, the installment plan process is a scam!",escalation
Can you arrange a meeting with the agent for Bahria Town House?,lead_capture
get a human online right now token paymnt stuck for johar town house!,escalation
can you share the broker number for emaar house?,lead_capture
I am looking for a 5 Marla House in Bahria Town. Please contact me at realestate.buyer@outlook.com.,lead_capture
WHAT IS THE SECURITY SITUATION IN JOHAR TOWN APARTMENT?,faq
What are the amenities provided in Gulberg Luxury Villa?,faq
I want to lodge a formal complaint against the agent for Clifton Luxury Villa!,escalation
can i book a physical site-tour for johar town plot?,lead_capture
"I want to book a 2 BHK Phase in Blue Area, call me at +92 321 9876543.",lead_capture
PLEASE SEND ME THE FULL BROCHURE AND PAYMENT PLAN FOR DHA SECTOR ON MY EMAIL USER@EXAMPLE.COM.,lead_capture
I've emailed three times about my 2 BHK Sector in Bahria Town and no response!,escalation
how many 2 bhk plot are left in blue area plot?,faq
Why is my Possession charges delayed for DHA Plot?,escalation
I want to invest in Clifton Apartment. Do you have any 1 Kanal options?,lead_capture
i will not pay the possession charges until a human explains the delay!,escalation
Can I book a physical site-tour for Emaar Phase?,lead_capture
CAN I BOOK A PHYSICAL SITE-TOUR FOR GIGA MALL HOUSE?,lead_capture
What are the Transfer fee for a 5 Marla Plot File in Clifton,faq
please whatsapp me the details of 3 bhk phase in johar town at 0345 5566778.,lead_capture
I am interested in buying a 4 BHK penthouse Plot in DHA.,lead_capture
"i'm sick of this bot, get me a mngr now!",escalation
What is the transfer fee for Blue Area Phase,faq
"I want to book a 10 Marla House in Emaar, call me at 0345 5566778.",lead_capture
"I am reporting this to teh society head, the Transfer fee process is a scam!",escalation
"I am looking for a luxury Plot File in Clifton, can you help?",lead_capture
Can you share the broker number for Giga Mall Luxury Villa?,lead_capture
Why is my Token Money delayed for Clifton Apartment?,escalation
I've emailed three times about my 5 Marla Apartment in Bahria Town and no response!,escalation
I want to invest in Bahria Town Plot. Do you have any 2 BHK options?,lead_capture
Please WhatsApp me the details of 4 BHK penthouse Commercial Shop in Blue Area at +92 300 1234567.,lead_capture
Urgent: my Registry failed but money was deducted for Emaar Phase!,escalation
i want to invest in clifton phase. do you have any 3 bhk options?,lead_capture
Are there any hidden Down Payment for Clifton Commercial Shop?,faq
How much is the Token Money for Giga Mall Phase?,faq
i will not pay the token money until a human explains teh delay!,escalation
Why is my Down Paymnt delayed for Gulberg Sector?,escalation
"I'm very interested in the 3 BHK Plot File in Blue Area, how do I proceed?",lead_capture
Please send me teh full brochure and payment plan for Giga Mall House on my email realestate.buyer@outlook.com.,lead_capture
I've emailed three times about my 10 Marla Plot in Clifton and no response!,escalation
What are the amenities provided in Bahria Town Sector,faq
can i get a 2 bhk phase on an installment plan in clifton?,faq
Is there an available 3 BHK Luxury Villa in DHA for immediate sale?,lead_capture
Why is my Installment Plan delayed for Clifton House?,escalation
Urgent: my Down Payment failed but money was deducted for Bahria Town House!,escalation
What is the transfer fee for Giga Mall Luxury Villa?,faq
I want to cancel my booking for 4 BHK penthouse Commercial Shop in Giga Mall because of this bad service!,escalation
Urgent: my Down Payment failed but money was deducted for Clifton Plot File!,escalation
i'm ready to pay the possession charges for a 1 kanal plot in johar town.,lead_capture
Why is teh Registry not reflecting in my portal for Bahria Town Luxury Villa?,escalation
Why is my Transfer fee delayed for Bahria Town Luxury Villa?,escalation
tell me about the registry for emaar phase.,faq
Urgent: my Installment Plan failed but money was deducted for Johar Town Commercial Shop!,escalation
Is Blue Area Luxury Villa currently in possession?,faq
I paid the Transfer fee for Emaar Sector and it's still not updated!,escalation
send me the current price list for 3 bhk apartment in dha.,lead_capture
can i get a 2 kanal luxury villa on an installment plan in emaar?,faq
"I want to book a Studio Sector in Bahria Town, call me at 0312 7654321.",lead_capture
Get a human online right now token payment stuck for Blue Area Plot File!,escalation
I want a call back regarding 10 Marla House in Giga Mall.,lead_capture
Why is my Down Payment delayed for Johar Town Apartment?,escalation
i'm ready to pay the token money for a 2 kanal plot in johar town.,lead_capture
YOUR AGENT PROMISED ME REGISTRY BY TODAY BUT NOTHING HAPPENED!,escalation
I paid the Possession charges for Clifton Sector and it's still not updated!,escalation
Please send me your WhatsApp number for Plot File in Johar Town.,lead_capture
Can you give me the dimensions of a 10 Marla Plot File in Bahria Town,faq
Why is my Token Money delayed for Johar Town Sector?,escalation
I want to invest in Emaar Phase. Do you have any 2 BHK options?,lead_capture
Please send me your WhatsApp number for Plot in Emaar.,lead_capture
What is the current market rate for 2 Kanal Plot File in Johar Town?,faq
I PAID TEH REGISTRY FOR CLIFTON COMMERCIAL SHOP AND IT'S STILL NOT UPDATED!,escalation
Urgent complaint regarding teh transfer fee for Giga Mall Luxury Villa!,escalation
Are there any Studio Sector available in Clifton?,faq
"My payment of Lakhs Lakhs for Possession charges is stuck, fix it now!",escalation
Why is my Token Money delayed for DHA Sector?,escalation
URGENT COMPLAINT REGARDING THE TRANSFER FEE FOR DHA HOUSE!,escalation
What is the possession timeline for 10 Marla House in Bahria Town,faq
I am interested in buying a Studio Plot File in Bahria Town.,lead_capture
How much is the Transfer fee for Clifton Apartment?,faq
I want to cancel my booking for 2 Kanal Plot File in DHA because of this bad service!,escalation
Send me the current price list for 5 Marla Apartment in Bahria Town.,lead_capture
what is the transfer fee for johar town plot file?,faq
I want to invest in Emaar Phase. Do you have any 10 Marla options?,lead_capture
Can you share the broker number for Bahria Town Sector?,lead_capture
Is the Bahria Town Sector society approved by LDA or DHA?,faq
urgent complaint regarding the transfer fee for emaar luxury villa!,escalation
Can you arrange a meeting with the agent for Giga Mall Phase?,lead_capture
DOES THE 2 KANAL APARTMENT IN DHA HAVE UNDERGROUND PARKING?,faq
"I'm very interested in teh 2 Kanal House in Gulberg, how do I proceed?",lead_capture
What is the current market rate for 2 BHK Plot File in Bahria Town?,faq
Please WhatsApp me the details of 10 Marla Commercial Shop in DHA at 0345 5566778.,lead_capture
I want to invest in Giga Mall Apartment. Do you have any 4 BHK penthouse options?,lead_capture
"I am looking for a luxury Phase in Giga Mall, can you help?",lead_capture
I paid the Token Money for Johar Town Plot and it's still not updated!,escalation
i want to visit giga mall this weekend to see 5 marla plots.,lead_capture
"I want to book a 5 Marla Luxury Villa in Johar Town, call me at +92 300 1234567.",lead_capture
Please send me the full brochure and payment plan for Giga Mall Plot on my email investor.pk@gmail.com.,lead_capture
Are there any 2 BHK Plot available in Blue Area?,faq
Why is the Down Payment not reflecting in my portal for Clifton Plot?,escalation
Get a human online right now token payment stuck for Blue Area Luxury Villa!,escalation
Why is my Registry delayed for Blue Area Plot File?,escalation
Is DHA Commercial Shop currently in possession?,faq
"I want to book a 3 BHK Phase in Emaar, call me at +92 300 1234567.",lead_capture
my installment plan for gulberg phase was deducted but no confirmation received.,escalation
Can I book a physical site-tour for Johar Town Plot File?,lead_capture
"I'm very interested in the 10 Marla Plot File in Bahria Town, how do I proceed?",lead_capture
Tell me about the Transfer fee for DHA Luxury Villa.,faq
I'm ready to pay the Registry for a 2 BHK Commercial Shop in Johar Town.,lead_capture
does the 10 marla house in bahria town have water?,faq
please send me the full brochure and payment plan for emaar sector on my email investor.pk@gmail.com.,lead_capture
What are the Down Payment for a 3 BHK Apartment in Johar Town?,faq
I want to visit DHA this weekend to see 1 Kanal Commercial Shops.,lead_capture
Is the 1 Kanal Luxury Villa in Blue Area near any main road?,faq
I've emailed three times about my 4 BHK penthouse Plot File in Johar Town and no response!,escalation
Can you arrange a meeting with the agent for Gulberg Plot?,lead_capture
send me the current price list for 10 marla plot file in blue area.,lead_capture
How much is the Installment Plan for Clifton Commercial Shop,faq
what is the transfer fee for clifton plot file?,faq
HOW MUCH IS THE REGISTRY FOR CLIFTON PLOT,faq
Urgent: my Transfer fee failed but money was deducted for Johar Town Plot!,escalation
what is the security situation in emaar commercial shop?,faq
I want a call back regarding 1 Kanal Plot in Gulberg.,lead_capture
"This bot is useless, connect me to the manager of Clifton society!",escalation
Urgent: my Down Payment failed but money was deducted for Giga Mall Luxury Villa!,escalation
Is Johar Town Plot currently in possession?,faq
"I am reporting this to the society head, the Transfer fee process is a scam!",escalation
I paid the Possession charges for DHA Apartment and it's still not updated!,escalation
"I am looking for a luxury Plot in DHA, can you help?",lead_capture
Please send me the full brochure and payment plan for Clifton Phase on my email investor.pk@gmail.com.,lead_capture
what are the amenities provided in gulberg phase?,faq
URGENT COMPLAINT REGARDING THE TRANSFER FEE FOR CLIFTON APARTMENT!,escalation
Please WhatsApp me teh details of 2 Kanal Luxury Villa in Johar Town at +92 300 1234567.,lead_capture
how much is the token money for emaar luxury villa?,faq
I am looking for a 4 BHK penthouse Apartment in Giga Mall. Please contact me at client123@yahoo.com.,lead_capture
I am interested in buying a 2 BHK Sector in Blue Area.,lead_capture
MY INSTALLMENT PLAN FOR GULBERG PLOT FILE WAS DEDUCTED BUT NO CONFIRMATION RECEIVED.,escalation
"my payment of crores crores for token money is stuck, fix it now!",escalation
urgent: my transfer fee failed but money was deducted for giga mall house!,escalation
I want to cancel my booking for 5 Marla Sector in Johar Town because of this bad service!,escalation
i want to lodge a formal complaint against the agent for clifton house!,escalation
Can you share the broker number for Bahria Town Apartment,lead_capture
I want a call back regarding Studio Phase in DHA.,lead_capture
Why is the Token Money not reflecting in my portal for Clifton House,escalation
I want to lodge a formal complaint against the agent for DHA Commercial Shop!,escalation
Urgent: my Possession charges failed but money was deducted for Emaar Sector!,escalation
Interested in 2 BHK Plot in Giga Mall. Please call back on 0312 7654321.,lead_capture
Can you share the broker number for Giga Mall Plot?,lead_capture
My Possession charges for Clifton House was deducted but no confirmation received.,escalation
I want to invest in Gulberg Apartment. Do you have any 4 BHK penthouse options?,lead_capture
Why is the Possession charges not reflecting in my portal for Bahria Town Commercial Shop?,escalation
I've emailed three times about my 10 Marla Plot in Bahria Town and no response!,escalation
Interested in 2 BHK Apartment in Emaar. Please call back on 0312 7654321.,lead_capture
How many 3 BHK Sector are left in Clifton Sector?,faq
I want to know about the payment plan for 5 Marla Commercial Shop in Blue Area.,faq
Interested in 4 BHK penthouse Luxury Villa in Emaar. Please call back on 0333 1122334.,lead_capture
What is the current market rate for 1 Kanal House in Emaar?,faq
i paid the token money for blue area plot file and it's still not updated!,escalation
I will not pay the Installment Plan until a human explains the delay!,escalation
Urgent: my Possession charges failed but money was deducted for DHA Commercial Shop!,escalation
urgent: my down payment failed but money was deducted for blue area plot file!,escalation
I am interested in buying a 5 Marla Apartment in Johar Town.,lead_capture
Please send me the full brochure and payment plan for Bahria Town Luxury Villa on my email client123@yahoo.com.,lead_capture
How many 4 BHK penthouse Luxury Villa are left in Emaar Luxury Villa?,faq
Tell me about teh Token Money for Gulberg Apartment.,faq
i've emailed three times about my 1 kanal phase in dha and no response!,escalation
Send me teh current price list for 2 Kanal Apartment in Blue Area.,lead_capture
How much is the Down Payment for Blue Area Commercial Shop?,faq
HOW MANY STUDIO HOUSE ARE LEFT IN JOHAR TOWN HOUSE?,faq
Tell me the difference between 1 Kanal and 1 Kanal in Johar Town.,faq
How much is the Token Money for Gulberg Apartment?,faq
Is the 2 Kanal Plot File in Johar Town near any main road?,faq
"This bot is useless, connect me to teh mngr of Gulberg society!",escalation
Are there any hidden Token Money for Clifton Plot File?,faq
i am looking for a 10 marla commercial shop in gulberg. please contact me at user@example.com.,lead_capture
I am looking for a 2 BHK Plot in Emaar. Please contact me at investor.pk@gmail.com.,lead_capture
Please WhatsApp me the details of Studio Plot File in Blue Area at +92 300 1234567.,lead_capture
Can I get a 3 BHK Commercial Shop on an installment plan in Johar Town?,faq
I have a budget of Lakhs Lakhs for a 2 Kanal Sector in Gulberg.,lead_capture
Can I book a physical site-tour for Gulberg Commercial Shop?,lead_capture
I want to invest in Gulberg Plot File. Do you have any 2 Kanal options,lead_capture
Why is my Possession charges delayed for Blue Area Sector?,escalation
I've emailed three times about my 1 Kanal Sector in DHA and no response!,escalation
Can you share the broker number for Bahria Town Plot File?,lead_capture
Tell me about the Registry for DHA Plot.,faq
Get a human online right now token payment stuck for Emaar Commercial Shop!,escalation
What are the Registry for a 2 BHK Commercial Shop in Clifton?,faq
can i book a physical site-tour for johar town house?,lead_capture
"My payment of Crores Crores for Transfer fee is stuck, fix it now!",escalation
I want to know about the payment plan for 2 Kanal Sector in Emaar.,faq
My Token Money for DHA House was deducted but no confirmation received.,escalation
how much is the token money for blue area apartment?,faq
i am looking for a 4 bhk penthouse luxury villa in emaar. please contact me at realestate.buyer@outlook.com.,lead_capture
urgent complaint regarding the transfer fee for bahria town plot!,escalation
What is the possession timeline for 5 Marla Phase in Bahria Town?,faq
why is the down payment not reflecting in my portal for emaar apartment?,escalation
Are there any hidden Possession charges for Clifton Commercial Shop?,faq
Please send me the full brochure and payment plan for Bahria Town Apartment on my email investor.pk@gmail.com.,lead_capture
Please WhatsApp me the details of 4 BHK penthouse Sector in Johar Town at 0345 5566778.,lead_capture
Why is my Registry delayed for DHA Luxury Villa,escalation
I AM LOOKING FOR A 3 BHK SECTOR IN GIGA MALL. PLEASE CONTACT ME AT USER@EXAMPLE.COM.,lead_capture
I want a call back regarding Studio Sector in DHA.,lead_capture
I've emailed three times about my 2 BHK Commercial Shop in DHA and no response!,escalation
Please send me the full brochure and payment plan for Bahria Town Commercial Shop on my email investor.pk@gmail.com.,lead_capture
what is the possession timeline for 5 marla plot file in clifton?,faq
"This bot is useless, connect me to the mngr of Clifton society!",escalation
I would like to book an appointment for a site visit in Gulberg.,lead_capture
Can you share the broker number for Gulberg Luxury Villa?,lead_capture
urgent: my registry failed but money was deducted for dha apartment!,escalation
i want to lodge a formal complaint against teh agent for clifton phase!,escalation
Please send me your WhatsApp number for Commercial Shop in Bahria Town.,lead_capture
I've emailed three times about my 3 BHK Commercial Shop in Blue Area and no response!,escalation
How many 4 BHK penthouse Sector are left in Clifton Sector?,faq
What is the total price of a 3 BHK Plot File in Emaar?,faq
I WANT TO LODGE A FORMAL COMPLAINT AGAINST THE AGENT FOR JOHAR TOWN PLOT FILE!,escalation
Please send me your Wapp number for Phase in Blue Area.,lead_capture
Why is my Down Payment delayed for Emaar House?,escalation
Tell me the difference between 3 BHK and 3 BHK in Clifton.,faq
I'm ready to pay the Registry for a 3 BHK Commercial Shop in Clifton.,lead_capture
What is the transfer fee for Clifton Plot File?,faq
i have a budget of pkr pkr for a 2 kanal plot file in gulberg.,lead_capture
Urgent complaint regarding the transfer fee for Johar Town Phase!,escalation
I've emailed three times about my 1 Kanal Apartment in Gulberg and no response!,escalation
Urgent complaint regarding the transfer fee for Blue Area Commercial Shop!,escalation
What are the Installment Plan for a 10 Marla Plot File in Bahria Town?,faq
"I HAVE BEEN LOOPING WITH THIS BOT FOR 10 MINUTES, I WANT A HUMAN REPRESENTATIVE!",escalation
Is the DHA Sector society approved by LDA or DHA?,faq
tell me the difference between 10 marla and 10 marla in clifton.,faq
what are the possession charges for a 5 marla luxury villa in gulberg?,faq
INTERESTED IN 1 KANAL SECTOR IN CLIFTON. PLEASE CALL BACK ON 0345 5566778.,lead_capture
Can you give me the dimensions of a 1 Kanal House in Bahria Town?,faq
Urgent: my Possession charges failed but money was deducted for Giga Mall House!,escalation
Can you share the broker number for Emaar Apartment,lead_capture
I AM INTERESTED IN BUYING A 2 KANAL PLOT FILE IN JOHAR TOWN.,lead_capture
How many 10 Marla Luxury Villa are left in Emaar Luxury Villa?,faq
I want to know about teh payment plan for Studio Plot in Emaar.,faq
Is DHA Luxury Villa currently in possession,faq
Does the 4 BHK penthouse Commercial Shop in DHA have gym?,faq
"i want to book a 5 marla plot in clifton, call me at 0333 1122334.",lead_capture
i paid the installment plan for johar town plot file and it's still not updated!,escalation
urgent complaint regarding the transfer fee for johar town plot!,escalation
Can you share the broker number for Johar Town Sector?,lead_capture
are there any hidden token money for blue area plot?,faq
Can I get a 2 BHK Plot File on an installment plan in DHA?,faq
Can you arrange a meeting with the agent for Bahria Town Commercial Shop?,lead_capture
Can I book a physical site-tour for Giga Mall Sector?,lead_capture
Please WhatsApp me the details of 4 BHK penthouse Apartment in Gulberg at +92 300 1234567.,lead_capture
Why is the Down Paymnt not reflecting in my portal for Giga Mall Plot,escalation
Tell me teh difference between 10 Marla and 10 Marla in Gulberg.,faq
What is the possession timeline for Studio Luxury Villa in Blue Area,faq
How much is the Down Payment for Gulberg Plot File?,faq
i have a budget of pkr pkr for a studio phase in gulberg.,lead_capture
Urgent: my Registry failed but money was deducted for Gulberg Commercial Shop!,escalation
Can you give me the dimensions of a 2 Kanal Commercial Shop in Gulberg?,faq
What are the Installment Plan for a 1 Kanal Luxury Villa in Giga Mall?,faq
I want to know about the payment plan for 10 Marla Plot in Johar Town.,faq
I paid the Down Payment for DHA Luxury Villa and it's still not updated!,escalation
I want to invest in Johar Town House. Do you have any Studio options?,lead_capture
what is the security situation in giga mall house?,faq
I've emailed three times about my 2 BHK Apartment in Bahria Town and no response!,escalation
What is the current market rate for 4 BHK penthouse Plot in DHA?,faq
I WOULD LIKE TO BOOK AN APPOINTMENT FOR A SITE VISIT IN GULBERG.,lead_capture
I PAID THE TRANSFER FEE FOR GULBERG PLOT AND IT'S STILL NOT UPDATED!,escalation
How much is the Installment Plan for Bahria Town Phase?,faq
I want to invest in Emaar Apartment. Do you have any 3 BHK options?,lead_capture
I will not pay the Registry until a human explains teh delay!,escalation
I am interested in buying a 5 Marla Sector in Giga Mall.,lead_capture
Why is my Down Payment delayed for Blue Area Plot?,escalation
i've emailed three times about my 4 bhk penthouse apartment in dha and no response!,escalation
Is there an available 4 BHK penthouse Luxury Villa in Gulberg for immediate sale,lead_capture
Is the Bahria Town Plot File society approved by LDA or DHA?,faq
Get a human online right now token payment stuck for Johar Town Plot!,escalation
